cpf,name,email,password
11122233301,Amanda Ferreira,amanda.ferreira@example.com,senha123
11122233302,Bruno Carvalho,bruno.carvalho@example.com,senha123
11122233303,Carolina Mendes,carolina.mendes@example.com,senha123
11122233304,Diego Santos,diego.santos@example.com,senha123
11122233305,Eduarda Ribeiro,eduarda.ribeiro@example.com,senha123
11122233306,Felipe Barbosa,felipe.barbosa@example.com,senha123
11122233307,Gustavo Almeida,gustavo.almeida@example.com,senha123
11122233308,Helena Moreira,helena.moreira@example.com,senha123
11122233309,Igor Teixeira,igor.teixeira@example.com,senha123
11122233310,Juliana Castro,juliana.castro@example.com,senha123
